run_id,mode,ticker,label_horizon_days,label_threshold,precision,recall,f1,accuracy,buy_rate,positive_rate,lift,tp,fp,tn,fn,support,model_final_path,config_path,metrics_path,manifest_path,git_commit,start_time,end_time,status,best_status,selection_sort_key,selection_filters
20260215_110550__57ef2968,finetune,GOOGL,120,0.2,0.5505464480874317,0.6106060606060606,0.5790229885057472,0.6116633532140491,0.4850894632206759,0.43737574552683894,1.258749,403,329,520,257,1509,runs\20260215_110550__57ef2968\models\finetuned\GOOGL\final.zip,runs\20260215_110550__57ef2968\config.yaml,runs\20260215_110550__57ef2968\metrics.json,runs\20260215_110550__57ef2968\manifest.json,12d59e9faf4a5526f9bd8645b8f60bd04e146655,2026-02-15T11:05:50.666413,2026-02-15T11:15:32.426940,READY,PASS,precision=0.551|lift=1.259|buy_rate=0.485|support=1509|tp=403,lift_min=1.1; min_tp=30; buy_rate_max=None
20260214_192729__7d7df546,finetune,NVDA,20,0.1,0.5822485207100592,0.625158831003812,0.6029411764705882,0.5705765407554672,0.559973492379059,0.5215374420145792,1.116408,492,353,369,295,1509,runs\20260214_192729__7d7df546\models\finetuned\NVDA\final.zip,runs\20260214_192729__7d7df546\config.yaml,runs\20260214_192729__7d7df546\metrics.json,runs\20260214_192729__7d7df546\manifest.json,,2026-02-14T19:27:29.909964,2026-02-14T19:47:43.369299,READY,PASS,precision=0.582|lift=1.116|buy_rate=0.560|support=1509|tp=492,lift_min=1.1; min_tp=30; buy_rate_max=None
20260215_101232__f9693061,finetune,TSM,120,0.2,0.6288343558282209,0.5283505154639175,0.5742296918767508,0.5970841616964877,0.4320742213386349,0.5142478462557986,1.222824,410,242,491,366,1509,runs\20260215_101232__f9693061\models\finetuned\TSM\final.zip,runs\20260215_101232__f9693061\config.yaml,runs\20260215_101232__f9693061\metrics.json,runs\20260215_101232__f9693061\manifest.json,12d59e9faf4a5526f9bd8645b8f60bd04e146655,2026-02-15T10:12:32.454639,2026-02-15T10:21:42.058137,READY,PASS,precision=0.629|lift=1.223|buy_rate=0.432|support=1509|tp=410,lift_min=1.1; min_tp=30; buy_rate_max=None
